ID,ゲーム仕様文,ゲーム仕様が含まれるタイトル,プリンセスメーカー,ベスト競馬・ダービースタリオン,卒業 Graduation,ときめきメモリアル,Jリーグプロサッカークラブをつくろう!,実況パワフルプロ野球3,子育てクイズ マイエンジェル,エターナルメロディ,ゲームで発見!!たまごっち,悠久幻想曲,モンスターファーム,プリメ・ゆめみる妖精,ポケットモンスター ルビー・サファイア,nintendogs,アイドルマスター,ウイニングポストワールド,ドラゴンクエストIX 星空の守り人,ドラゴンクエストモンスターズ ジョーカー2,おさわり探偵 なめこ栽培キット,パズル＆ドラゴンズ,艦これ,パワプロアプリ,刀剣乱舞,Fate/Grand Order,共通していた頻度,第一類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる最も類似しているゲーム仕様文,BERTによる第一類似のスコア,第二類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第二に類似しているゲーム仕様文,BERTによる第二類似のスコア,第三類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第三に類似しているゲーム仕様文,BERTによる第三類似のスコア
975,育成期間に制限がない,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,9,9,第二ゲームには育成期間の制限がない,0.94,0,レベルによる装備制限はない,0.92,0,クエストには期限がない,0.91
976,メイン画面には現在の時間が表示されている,nintendogs,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,メイン画面には現在の日付が表示されている,0.99,0,メイン画面には日付が表示されている,0.97,0,現在のターンがメイン画面に表示されている,0.97
977,メイン画面には表示中の育成キャラクター名が表示されている,nintendogs,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,9,メイン画面には育成対象キャラクターの名前が表示されている,0.99,0,メイン画面には育成対象キャラクターの立ち絵が表示されている,0.98,2,メイン画面には育成対象キャラクターのパラメータの一部が表示されている,0.98
978,メイン画面では育成キャラクターのカメラ切り替えができる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,メイン画面では育成対象キャラクターの立ち絵が表示される,0.95,0,メイン画面では育成対象キャラクターの能力が表示される,0.95,0,メイン画面では育成対象キャラクターの守備位置が表示される,0.94
979,育成キャラクターには複数のパラメーターがある,nintendogs,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,9,10,育成キャラクターには複数のパラメータがある,0.99,10,育成キャラクターには複数種類のパラメーターがある,0.99,0,アイテムには複数のパラメータがある,0.97
980,時間経過に応じて育成対象キャラクターのパラメータが変化する,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,パラメータの変化に応じて育成対象キャラクターの待機モーションが変化する,0.98,0,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,0.97,0,索敵によって育成対象キャラクターの特定のパラメータが上昇する,0.96
981,育成対象キャラクターはパラメータ変化に合わせたモーションをとる,nintendogs,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,10,パラメータの変化に応じて育成対象キャラクターの待機モーションが変化する,0.96,10,時間経過に応じて育成対象キャラクターのパラメータが変化する,0.95,0,サブ属性に応じて育成対象キャラクターの成長曲線が決まる,0.94
982,育成キャラクターはわざを覚える,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,育成キャラクターは武器を装備できる,0.95,9,育成キャラクターはバトルで使用するわざを習得する,0.94,0,スキルは育成コマンドによって覚える,0.94
983,わざはプレイヤーが音声認識を繰り替えして習得,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,振り分け画面では各スキルを仮選択して左右ボタン入力で1ポイントずつ付与数を増減できる,0.92,0,バトルでわざを使用した際に相性に応じた効果の変化がテキストで表示される,0.92,0,特性はコマンド入力なしで自動で発動,0.91
984,わざによって習得するまでの繰り返す回数が異なる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,覚えるわざは育成キャラクターごとに異なる,0.93,0,育成キャラクターによって習得できるわざは異なる,0.93,0,特訓場所に応じて獲得できるわざが異なる,0.93
985,1日に習得できるわざ数には上限がある,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,習得できるわざ数には上限がある,0.97,0,習得できるわざの種類には上限がある,0.97,0,装備できるアイテム数には上限がある,0.96
986,覚えているわざはリストで確認できる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,受注しているクエスト一覧はメニューから確認できる。,0.94,0,所持しているゲーム内通貨はメイン画面で確認できる,0.93,0,図鑑では育成対象キャラクターの情報を確認できる,0.92
987,リストからわざを削除できる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,図鑑では育成対象キャラクターの情報を確認できる,0.92,0,育成対象キャラクターは任意で削除ができる,0.92,0,リストから合成で生まれる育成キャラクターを選べる,0.91
988,習得できるわざ数には上限がある,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,10,習得できるわざの種類には上限がある,0.99,0,装備できるアイテム数には上限がある,0.98,0,所持できるキャラクター数には上限がある,0.98
989,わざは1定期間使用しないと忘れる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,育成キャラクターは一定レベルに達するとバトル中にわざを実行しなくなる,0.92,0,一定期間実行していない育成コマンドは該当パラメータが減少する,0.92,0,探検に行くと一定期間育成コマンドを選択できない,0.92
990,育成対象キャラクターは複数体デッキ編成が可能,nintendogs,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,15,10,育成キャラクターは複数体デッキに編成可能,0.98,9,育成キャラクターは同時に3キャラまで同時に育成が可能,0.95,9,プレイヤーキャラクター以外に最大3キャラクターまでデッキ編成可能,0.95
991,デッキ上限未満で育成キャラクターを追加した場合デッキに自動編成される,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,10,捕獲した際デッキが上限に達していない場合はデッキに自動で編成される,0.95,0,クエスト挑戦時にデッキ編成キャラに加えて他プレイヤーの育成対象キャラクターをレンタルできる,0.94,0,第二ゲームでは規定人数をデッキに編成しないとゲーム開始できない,0.94
992,3キャラまで同時育成が可能,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,10,育成キャラクターは同時に3キャラまで同時に育成が可能,0.97,9,同時に複数キャラを育成可能,0.94,2,育成対象キャラクターは複数体デッキ編成が可能,0.94
993,特定施設で育成対象キャラクターの入れ替え可能,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,4,10,特定施設で編成外育成対象キャラクターの入れ替え可能,0.98,0,特定施設で育成対象キャラクターの削除可能,0.98,10,プレイヤーキャラクター以外の育成キャラクターは特定施設で入れ替えができる,0.96
994,特定施設で育成対象キャラクターの削除可能,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,4,0,特定施設で育成対象キャラクターの入れ替え可能,0.98,0,特定施設で編成外育成対象キャラクターの入れ替え可能,0.97,10,プレイヤーキャラクター以外の育成キャラクターは特定施設で削除ができる,0.95
995,ゲームはゲーム内における24時間が自動経過する,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,ゲーム内時間はシステムメニューから変更できる,0.92,0,ゲーム内時間で夜になると育成キャラクターは自動で休みに入る,0.92,0,ゲームはターン制で進行,0.9
996,育成コマンドが複数種ある,nintendogs,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,15,10,育成コマンドには複数種ある,0.97,0,育成モードが複数ある,0.95,10,育成馬の強化コマンドは複数種存在する,0.95
997,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,nintendogs,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,10,実行した育成コマンドに応じたパラメータが上昇する,0.98,9,実行した育成コマンドに応じたパラメータが変動する,0.98,0,実行した育成コマンドに応じて育成対象キャラクターがリアクションする,0.98
998,実行した育成コマンドに応じて育成対象キャラクターがリアクションする,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,実行した育成コマンドに応じて育成対象キャラクターのパラメータが変化する,0.98,0,実行した育成コマンドに応じたパラメータが上昇する,0.97,5,育成コマンドの結果を育成対象キャラクターがリアクションする,0.97
999,練習コマンドは育成期間内であれば無制限に実行可能,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,パラメータ上限に達している場合は育成コマンドを実行しても無効となる,0.92,0,一定期間実行していない育成コマンドは該当パラメータが減少する,0.92,0,育成期間終了前であってもプレイヤーが強制的に育成を終了することができる,0.92
1000,育成コマンドには成功失敗がある,nintendogs,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0,装備入手コマンドには成功失敗がある,0.98,9,育成馬強化コマンドには成功失敗がある,0.98,10,育成コマンドには成功と失敗がある。,0.96
1001,パラメータ上限に達している場合は育成コマンドを実行しても無効となる,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,関係度が上限に達しても特定パラメータが満たない場合はアイテムを獲得できない,0.95,0,一定期間実行していない育成コマンドは該当パラメータが減少する,0.95,0,捕獲した際デッキが上限に達している場合はボックスに自動で送られる,0.94
1002,マップを任意に移動できる育成コマンドがある,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,アイテムを複数種消費して育成対象キャラクターをランダムで入手できるコマンドがある,0.93,0,育成コマンドは育成対象キャラクターごとに設定できる,0.93,0,メニューからデッキ編成キャラクターが習得している回復呪文を自動選択して全員のHPを最大まで回復するコマンドがある,0.93
1003,マップではランダムでイベントが発生,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,特定の条件及び日付で時期イベントである「探検」が発生,0.91,1,マップ移動中や特定の場所ではバトルが発生する,0.9,0,マップ移動およびイベント中にバトルが発生する,0.89
1004,マップ移動で専用の体力ゲージを消費,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,休み以外の育成コマンドでは体力を消費する,0.92,0,繰り返しマップ移動すると体力ゲージの最大値が上昇,0.91,0,育成コマンド実行で体力ゲージは減らない,0.91
1005,体力ゲージ以上の距離は移動できない,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,育成コマンド実行で体力ゲージは減らない,0.92,0,繰り返しマップ移動すると体力ゲージの最大値が上昇,0.91,0,クールタイム後は体力ゲージが最大まで回復している,0.91
1006,繰り返しマップ移動すると体力ゲージの最大値が上昇,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,強化すると育成コマンド実行時の該当パラメータ上昇量が増える,0.95,0,レベルが上がるとコスト系パラメータが上限まで回復する,0.95,0,クールタイム後は体力ゲージが最大まで回復している,0.95
1007,マップ移動にはクールタイムがある,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,操作には制限時間がある,0.93,0,スキルにはクールタイムが設定されている,0.92,0,マップには昼夜がある,0.92
1008,クールタイム後は体力ゲージが最大まで回復している,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,レベルが上がるとコスト系パラメータが上限まで回復する,0.95,0,繰り返しマップ移動すると体力ゲージの最大値が上昇,0.95,0,育成コマンド実行で体力ゲージは減らない,0.94
1009,アイテムを使用して育成キャラクターのパラメーターを上昇,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,関係度を増やすイベントで育成対象キャラクターのパラメータが増減,0.91,0,プレイヤーの専用コマンドによって育成対象キャラクターのパラメータを上昇したり回復できる,0.91,10,アイテムを装備すると育成対象キャラクターのパラメータが上昇する,0.91
1010,アイテムはゲーム内通貨を消費して購入可能,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,8,装備はゲーム内通貨を消費して購入できる,0.99,9,アイテムはアイテムショップでゲーム内通貨を消費して入手できる,0.98,9,武器防具アクセサリはゲーム内通貨を消費して購入可能,0.98
1011,アイテムによってパラメーターの上昇量が異なる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,育成対象キャラクターによって育成コマンドで上昇するパラメーター量が異なる,0.96,0,育成コマンドの結果によってパラメータの増加量が変わる。,0.96,0,武器のスキルによっても装備キャラのパラメータが変動する,0.95
1012,アイテムは確率で入手できるものがある,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,ステージにはアイテムのみ獲得できるものがある,0.95,0,探検でアイテムを入手できることがある,0.94,0,アイテムを複数種消費して装備をランダムで入手できるコマンドがある,0.94
1013,アイテムによって育成キャラクターの容姿を変更できる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,プレイヤーの専用コマンドによって育成対象キャラクターのパラメータを上昇したり回復できる,0.96,0,育成コマンドは育成対象キャラクターごとに設定できる,0.95,0,育成対象キャラクターをアイテムに変換できる,0.95
1014,各パラメータはパラメータ確認画面から確認可能,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,5,10,パラメータはパラメータ確認画面から確認可能,0.99,10,パラメータはパラメータ確認画面から確認できる,0.98,10,各育成キャラクターのパラメータはメニューから確認可能,0.96
1015,パラメータはテキストで表現されている,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,各パラメーターはゲージで表示されている,0.95,0,パラメータは円の大きさで表示されている,0.95,0,パラメータは数値のみで表示される,0.94
1016,パラメータ確認画面に表示されないパラメータがある,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,NPCのコメントで数値表示されていないパラメータ状況を確認できる,0.94,0,育成画面には育成対象キャラクターのパラメータが表示されている,0.93,0,メイン画面には育成対象キャラクターのパラメータの一部が表示されている,0.93
1017,他のキャラクターと自分の育成対象キャラクターが集う場所がある,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,他プレイヤーの育成対象キャラクターと対戦できるモードがある,0.95,0,他プレイヤーの育成キャラクターとバトルできるコンテンツがある,0.94,0,プレイヤーキャラクター以外の育成キャラクターは特定施設で入れ替えができる,0.94
1018,他のキャラクターにも名前が設定されている,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,わざにもタイプが設定されている,0.93,0,育成対象キャラクターには複数のパラメータが設定されている,0.93,0,育成対象キャラクターには属性が設定されている,0.92
1019,育成対象キャラクターとそれ以外とで名前表示UIの色が異なる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,育成対象キャラクターのタイプごとにパラメータが異なる,0.93,0,育成対象キャラクターのタイプごとに育成シナリオが異なる,0.93,0,育成対象キャラクターのタイプごとにスキルが異なる,0.93
1020,育成パラメーターを競うコンテンツがある,nintendogs,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,19,9,育成パラメーターでバトルするコンテンツがある,0.97,9,他プレイヤーの育成キャラクターとバトルできるコンテンツがある,0.94,0,育成キャラクターを派遣するコンテンツがある,0.93
1021,コンテンツは複数種目ある,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10,競うコンテンツは複数の種目がある,0.92,0,スキルは複数種類ある,0.91,0,タイプは複数種類ある,0.91
1022,種目ごとに使用するパラメータが異なる,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,作戦ごとにバトルで上昇するパラメータが異なる,0.96,0,特訓場所に応じて獲得できるパラメータが異なる,0.95,0,育成対象キャラクターに応じて装備できる種類が異なる,0.95
1023,コンテンツで競った結果順位がつけられる,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,バトルの結果順位がつけられる,0.95,0,ポイントはコンテンツの順位に応じても獲得できる,0.89,0,バトルの順位が1位だと該当コンテンツのグレードが上がる,0.88
1024,順位に応じてゲーム内通貨を獲得できる,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,バトルの順位に応じて報酬を獲得できる,0.97,0,クエストではゲーム内通貨を獲得できる,0.96,0,育成コマンドではゲーム内通貨を獲得できる,0.96
1025,各コンテンツにはグレードがある,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,バトルにはグレードがある,0.92,0,装備には種類がある,0.92,0,武器にはレベルがある,0.92
1026,順位が閾値を上回ると該当コンテンツのグレードが上がる,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,順位が閾値を下回ると該当コンテンツのグレードが下がる,0.98,9,バトルの順位が1位だと該当コンテンツのグレードが上がる,0.97,0,関係値が高いとマップで珍しいアイテムの入手確率が上がる,0.91
1027,グレードに応じて難易度と報酬が変化する,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,バトル評価に応じて報酬が変化する,0.96,0,時間経過に応じて育成対象キャラクターのパラメータが変化する,0.95,0,育成終了時のパラメータに応じてEDが変化,0.95
1028,順位が閾値を下回ると該当コンテンツのグレードが下がる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,順位が閾値を上回ると該当コンテンツのグレードが上がる,0.98,0,バトルの順位が1位だと該当コンテンツのグレードが上がる,0.95,0,施設のグレードがあがると育成が有利になる,0.9
1029,グレードは各育成対象キャラクターごとに記録される,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,リーダースキルは育成対象キャラクターごとに異なる,0.96,0,コストは育成対象キャラクターごとに設定されている,0.95,0,育成コマンドは育成対象キャラクターごとに設定できる,0.95
1030,コンテンツの歴代結果はリストで確認できる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,図鑑では育成対象キャラクターの情報を確認できる,0.92,0,関係値はメニュー画面から確認できる,0.92,0,パラメータはシステムメニューで確認できる,0.91
1031,コンテンツは1日の挑戦回数に上限がある,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,１日に習得できるわざ数には上限がある,0.95,0,プレイヤーの専用コマンドは使用回数に上限がある,0.94,0,装備できるアイテム数には上限がある,0.94
1032,挑戦回数の上限は時間でリセットされる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,コンテンツは1日の挑戦回数に上限がある,0.93,0,バトルが終了すると捕獲コマンドの制限リセット,0.92,0,残りライフはクイズ画面に表示される,0.92
1033,特定アイテムを所持していないと挑戦できない種目がある,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,マップで特定の場所を訪れていないと挑戦できない種目がある,0.97,0,クエストには特定職業、レべルに達していないと受注できないものがある,0.93,0,パラメータが一定値以上でないと発生しないイベントがある,0.93
1034,マップで特定の場所を訪れていないと挑戦できない種目がある,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,特定アイテムを所持していないと挑戦できない種目がある,0.97,0,育成モードをクリアしないとプレイできない別の育成モードがある,0.94,0,クエストには特定職業、レべルに達していないと受注できないものがある,0.93
1035,システムメニューがある,nintendogs,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,システムメニューがない,0.95,0,システムメニューではロードができる,0.91,0,システムメニューではセーブができる,0.91
1036,システムメニューからセーブが行える,nintendogs,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,12,10,システムメニューからセーブができる,0.98,10,システムメニューではセーブができる,0.96,0,システムメニューではロードができる,0.94
1037,1定パラメータ値を下回ると育成対象キャラクターが家出する,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,一定パラメータ値を下回ると育成対象キャラクターが状態異常になる,0.97,0,家出すると育成対象キャラクターの一部パラメータが減少する,0.96,0,状態異常になると育成対象キャラクターの一部パラメータが減少する,0.95
1038,関係度が存在する,nintendogs,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,13,10,関係度がある,0.95,0,関係値が発生条件になっているイベントが存在する,0.88,8,育成対象キャラクター同士にも関係度がある,0.88
1039,関係度は数値で表示されない,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,関係度が数値で表示される,0.95,0,関係度が数値で表示されている,0.94,10,関係度は数値以外の方法で表示される,0.94
1040,関係値が高いとマップで珍しいアイテムの入手確率が上がる,nintendogs,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,11,4,特定パラメータが高いほどアイテム獲得率が上がる,0.96,0,課金でレアリティの高いキャラクターの入手確率を上げられる,0.95,0,課金でレアリティの高い装備の入手確率を上げられる,0.95
1041,関係度に応じてプレイヤーに紐づくポイントを獲得できる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,累計ポイントに応じてプレイヤーに紐づく称号を獲得できる,0.98,0,ユーザーに紐づくゲーム内ポイントがある,0.94,0,順位に応じてゲーム内通貨を獲得できる,0.94
1042,ポイントはコンテンツの順位に応じても獲得できる,nintendogs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8,バトルの順位に応じて報酬を獲得できる,0.95,0,順位に応じてゲーム内通貨を獲得できる,0.94,0,獲得できるポイントは難易度に応じて増える,0.94
1043,ポイントを消費して育成できるキャラクターのタイプを増やせる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,ゲーム内ポイントを消費することで育成設備をグレードアップできる,0.95,0,進化合成は特定の育成対象キャラクターを消費して進化させることができる,0.95,0,アイテムを消費してパラメータを増減できる,0.95
1044,累計ポイントに応じてプレイヤーに紐づく称号を獲得できる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,関係度に応じてプレイヤーに紐づくポイントを獲得できる,0.98,0,順位に応じてゲーム内通貨を獲得できる,0.94,0,バトルの順位に応じて報酬を獲得できる,0.94
1045,称号はメニューから確認可能,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,パラメータはパラメータ確認画面から確認可能,0.95,0,パラメータはパラメータ確認画面から確認できる,0.95,10,獲得した称号はメニューから確認可能,0.95
1046,通信交換で他のプレイヤーとアイテムの受け渡しができる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,「宝の地図」は他のプレイヤーと受け渡し可能,0.95,5,すれちがい通信で一部アイテムの受け渡しが可能,0.95,0,通信で育成キャラクターを使用して他プレイヤーとバトルが可能,0.94
1047,通信を利用して他プレイヤーの育成対象キャラクターと遊べる,nintendogs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,通信で育成キャラクターを使用して他プレイヤーとバトルが可能,0.96,0,他プレイヤーの育成対象キャラクターと対戦できるモードがある,0.96,0,他プレイヤーの育成キャラクターとバトルできるコンテンツがある,0.95
1048,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1049,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1050,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1051,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,,,,,,,,,
1052,,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
1053,ゲームの最初にプレイヤーキャラクターの名前を決める,アイドルマスター,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,14,10,ゲームの最初にプレイヤーキャラクターの名前を決める。,0.99,0,ゲームの最初にプレイヤーキャラクターの性別を決める,0.99,0,ゲームの最初に育成対象キャラクターの名前を決める,0.98
1054,ゲームの最初に育成開始時期を選択する,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,ゲームの最初に育成対象キャラクターを選択する,0.97,0,ゲームの最初に育成対象キャラクターを選ぶ,0.97,0,ゲームの最初に育成対象キャラクターの誕生日を選択する。,0.96
1055,ゲームの最初に育成対象キャラクターを選択する,アイドルマスター,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10,ゲームの最初に育成対象キャラクターを選ぶ,0.99,10,ゲームの最初に育成対象キャラクターを決める,0.98,0,ゲームの最初に育成対象キャラクターのスキルを選ぶ,0.98
1056,ゲームの最初に育成対象キャラクターの芸名を決める,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,ゲームの最初に育成対象キャラクターの名前を決める,0.99,0,ゲームの最初に育成対象キャラクターの一人称を決める,0.99,0,ゲームの最初に育成対象キャラクターの出身を決める,0.99
1057,特定のパラメータ（ファン人数）を規定値まで上げることが目標,アイドルマスター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,育成対象キャラクターを規定年齢まで育成するのがシナリオの目標,0.94,0,デッキ編成キャラクターの特定パラメータ合計値が高いほど成功率があがる,0.93,0,各パラメータごとの経験値が一定値に達すると段階評価があがる,0.93
1058,育成期間が決まっている,アイドルマスター,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,11,10,育成期間がある,0.93,0,各育成対象キャラクターごとに育成期間が設定されている,0.91,10,育成期限が存在する,0.91
